ev_id,injury_coded,damage_coded,narr_length,ntsb_coded_labels,pipeline_hard_evidence,pipeline_soft_evidence,n_hard,n_soft
20120221X03231,no injury,minor damage,2144,20120221x03231; aircraft-aircraft power plant-engine (turbine/turboprop)-(general)-related maintenance info - f; c; f; personnel issues-action/decision-action-incorrect action performance-maintenance personnel - c; personnel issues-task performance-maintenance-installation-maintenance personnel - c; takeoff - engine shutdown; takeoff - fire/smoke (non-impact); takeoff - powerplant sys/comp malf/fail; takeoff - uncontained engine failure,person: unknown; unknown,1 engine (0.34); loss of engine power (partial) - mechanical failure/malfunction (0.16); loss of engine power (total) - mechanical failure/malfunction (0.45),2,3
20160222X93713,no injury,substantial damage,1962,20160222x93713; aircraft-aircraft handling/service-maintenance/inspections-scheduled maint checks-related maintenance info - f; aircraft-aircraft structures-fuselage-bulkheads (main fuselage)-fatigue/wear/corrosion - c; c; enroute-cruise - aircraft structural failure; f,person: manufacturer,"airframe/component/system failure/malfunction (0.64); maintenance, inspection (0.21)",1,2
20160330X72920,no injury,substantial damage,2934,20160330x72920; c; f; landing-flare/touchdown - tailstrike; personnel issues-action/decision-action-incorrect action performance-pilot - c; personnel issues-action/decision-info processing/decision-identification/recognition-copilot - f; personnel issues-task performance-use of equip/info-use of automation-pilot - f,"crosswind component; fuselage, skin; person: copilot/second pilot; person: flightcrew; person: pilot-in-command","dragged wing, rotor, pod, float or tail/skid (0.15); hard landing (0.19); terrain condition (0.21)",5,3
20131224X22946,no injury,minor damage,2120,20131224x22946; c; environmental issues-physical environment-object/animal/substance-animal(s)/bird(s)-effect on equipment - c; takeoff - birdstrike,hard landing; person: flightcrew; person: pilot-in-command,1 engine (0.19); in flight collision with object (0.22); object (0.39),3,3
20100503X82523,no injury,minor damage,2566,20100503x82523; aircraft-aircraft structures-nacelles/pylons structure-(general)-failure - c; aircraft-aircraft structures-nacelles/pylons structure-main frame (on nacelles/pylon)-malfunction - c; c; takeoff - part(s) separation from ac,"landing gear; maintenance, inspection; person: flightcrew","maintenance, inspection (0.17)",3,1
20170508X85232,serious injury,no damage,2063,20170508x85232; c; enroute-climb to cruise - turbulence encounter; environmental issues-conditions/weather/phenomena-turbulence-convective turbulence-effect on personnel - c,person: flight attendant; person: flightcrew; person: pilot-in-command; weather radar,in flight encounter with weather (0.82); seat belt (0.16); weather condition (0.92),4,3
20110607X83931,no injury,minor damage,3989,"; 20110607x83931; aircraft-aircraft systems-hydraulic power system-pump, main-damaged/degraded - c; aircraft-aircraft systems-landing gear system-gear extension and retract sys-design; aircraft-aircraft systems-landing gear system-gear extension and retract sys-fatigue/wear/corrosion - c; aircraft-aircraft systems-landing gear system-gear extension and retract sys-incorrect service/maintenance - f; aircraft-aircraft systems-landing gear system-gear extension and retract sys-malfunction - c; aircraft-fluids/misc hardware-fluids-(general)-incorrect use/operation - c; aircraft-fluids/misc hardware-fluids-hydraulic fluid-fluid condition - c; approach - sys/comp malf/fail (non-power); c; f; landing - landing gear not configured",gear not extended; hydraulic system; landing gear; person: flightcrew,"airframe/component/system failure/malfunction (0.59); landing gear, main gear (0.17); landing gear, normal retraction/extension assembly (0.18)",4,3
20150605X52542,no injury,minor damage,2194,20150605x52542; aircraft-aircraft systems-ice/rain protection system-windows/windshields & doors-failure - c; approach-ifr initial approach - fire/smoke (non-impact); c; f; personnel issues-experience/knowledge-training-total instruct/training recvd-flight crew - f,fire; person: flightcrew,airframe/component/system failure/malfunction (0.52); evacuation (0.18); fire (0.32),2,3
20090611X13753,no injury,minor damage,2035,20090611x13753; aircraft-aircraft systems-landing gear system-main landing gear-malfunction - c; aircraft-fluids/misc hardware-fluids-hydraulic fluid-fluid condition - c; c; landing-flare/touchdown - landing gear collapse,gear not extended; hydraulic system; landing gear; person: flightcrew; person: pilot-in-command,"airframe/component/system failure/malfunction (0.56); landing gear, main gear (0.19); landing gear, normal retraction/extension assembly (0.17)",5,3
20081007X03940,no injury,minor damage,2368,; 20081007x03940; aircraft-aircraft systems-electrical power system-dc power distribution system-fatigue/wear/corrosion - c; c; enroute - electrical system malf/failure; landing-landing roll - collision with terr/obj (non-cfit); landing-landing roll - off-field or emergency landing; organizational issues-development-manufacture/production-document/info production-manufacturer; organizational issues-management-policy/procedure-adequacy of policy/proc-operator; personnel issues-action/decision-info processing/decision-decision making/judgment-flight crew - c; personnel issues-action/decision-info processing/decision-understanding/comprehension-flight crew,overrun; person: copilot/second pilot; person: flightcrew; person: pilot-in-command; thrust reversers,loss of control - on ground/water (0.15),5,1
